,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance
0,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,7,2020-09-01,2020-09-01,35,0.37,0.24,0.01
1,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-06-30,2018-06-30,27,0.37,0.31,0.01
2,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2019-07-30,Missing,32,0.29,0.29,0.01
3,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2017-03-08,2017-03-08,75,0.35,0.25,0.01
4,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2017-12-13,2017-12-13,107,0.29,0.29,0.01
5,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-07-04,2017-07-04,35,0.37,0.32,0.01
6,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,2,2018-07-05,2018-07-05,71,0.26,0.35,0.01
7,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2023-09-05,2023-09-05,42,0.23,0.22,0.01
8,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2022-05-28,2022-05-28,149,0.26,0.35,0.01
9,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2017-10-03,2017-10-03,20,0.26,0.31,0.01
10,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2023-12-13,2023-12-13,39,0.39,0.29,0.01
11,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,7,2017-05-15,2017-05-15,92,0.39,0.29,0.01
12,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,2023-12-13,2023-12-13,92,0.26,0.29,0.01
13,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2023-09-11,2023-09-11,91,0.26,0.35,0.01
14,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2015-04-19,2015-04-19,62,0.35,0.31,0.01
15,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2021-11-08,2021-11-08,41,0.37,0.31,0.01
16,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2017-04-15,2017-04-15,70,0.34,0.26,0.01
17,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-08-15,2018-08-15,91,0.26,0.31,0.01
18,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,7,2023-02-03,2023-02-03,29,0.36,0.22,0.01
19,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,2,2020-07-12,2020-07-12,117,0.26,0.31,0.01
20,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-12-23,2016-12-23,60,0.23,0.22,0.01
21,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2018-07-25,2018-07-25,89,0.33,0.26,0.01
22,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2017-01-01,2017-01-01,74,0.37,0.31,0.01
23,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,Missing,2018-10-05,93,0.26,0.35,0.01
24,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,7,2017-08-23,2017-08-23,82,0.31,0.26,0.01
25,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-03-30,2021-03-30,122,0.26,0.31,0.01
26,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-08-25,2021-08-25,97,0.35,0.25,0.01
27,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2021-09-17,2021-09-17,111,0.31,0.26,0.01
28,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-02-06,2023-02-06,123,0.35,0.31,0.01
29,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2016-09-18,2016-09-18,103,0.33,0.26,0.01
30,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-10-23,2022-10-23,124,0.33,0.26,0.01
31,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2022-06-08,2022-06-08,96,0.34,0.26,0.01
32,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2018-09-11,2018-09-11,95,0.25,0.3,0.01
33,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2021-04-22,2021-04-22,44,0.21,0.31,0.01
34,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2016-06-22,2016-06-22,84,0.37,0.24,0.01
35,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2020-01-08,2020-01-08,117,0.37,0.24,0.01
36,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-07-06,2021-07-06,172,0.39,0.29,0.01
37,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-12-31,2021-12-31,167,0.35,0.25,0.01
38,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2022-12-08,2022-12-08,145,0.31,0.26,0.01
39,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2017-08-29,2017-08-29,71,0.36,0.23,0.01
40,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-04-13,2023-04-13,139,0.35,0.31,0.01
41,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2019-12-05,2019-12-05,119,0.23,0.27,0.01
42,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2017-12-18,2017-12-18,62,0.33,0.26,0.01
43,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,2022-04-30,2022-04-30,120,0.31,0.26,0.01
44,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,7,2020-06-02,2020-06-02,139,0.36,0.34,0.01
45,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2022-11-17,2022-11-17,198,0.24,0.29,0.01
46,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2023-06-18,2023-06-18,116,0.37,0.31,0.01
47,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,4,2017-03-21,2017-03-21,17,0.21,0.31,0.01
48,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-03-25,2015-03-25,20,0.31,0.26,0.01
49,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2022-11-25,2022-11-25,53,0.25,0.3,0.01
50,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,2,2015-08-21,2015-08-21,72,0.23,0.27,0.01
51,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2021-11-27,2021-11-27,29,0.39,0.22,0.01
52,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,7,Missing,2021-06-09,136,0.26,0.35,0.01
53,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,7,2023-02-09,2023-02-09,25,0.23,0.27,0.01
54,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2017-11-09,2017-11-09,88,0.23,0.22,0.01
55,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,7,Missing,2016-04-01,87,0.37,0.32,0.01
56,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2019-01-14,2019-01-14,98,0.36,0.34,0.01
57,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,Missing,Missing,42,0.26,0.29,0.01
58,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2019-04-03,2019-04-03,117,0.23,0.27,0.01
59,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,2,2023-02-03,2023-02-03,45,0.34,0.26,0.01
60,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,7,2020-07-24,2020-07-24,106,0.35,0.25,0.01
61,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2022-06-06,2022-06-06,108,0.23,0.27,0.01
62,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2015-12-19,2015-12-19,57,0.33,0.26,0.01
63,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2021-05-25,2021-05-25,129,0.34,0.26,0.01
64,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2023-01-12,2023-01-12,160,0.21,0.25,0.01
65,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2022-05-11,2022-05-11,199,0.24,0.29,0.01
66,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2016-10-10,2016-10-10,80,0.37,0.24,0.01
67,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2018-11-18,2018-11-18,112,0.37,0.32,0.01
68,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2018-12-22,2018-12-22,31,0.33,0.26,0.01
69,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-09-13,2019-09-13,92,0.26,0.29,0.01
70,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-11-01,2023-11-01,192,0.24,0.29,0.01
71,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2016-08-15,2016-08-15,72,0.31,0.26,0.01
72,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2015-06-29,2015-06-29,20,0.34,0.26,0.01
73,Volkswagen,ID.4,247.0,59783.72,31.61,21.43,2.02,57.81,5,2017-05-01,2017-05-01,90,0.4,0.22,0.01
74,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,7,2018-04-30,2018-04-30,35,0.29,0.29,0.01
75,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2023-11-28,2023-11-28,133,0.26,0.31,0.01
76,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,2,2015-05-21,2015-05-21,87,0.31,0.26,0.01
77,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2023-11-05,2023-11-05,34,0.35,0.27,0.01
78,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,7,2019-11-05,2019-11-05,111,0.36,0.23,0.01
79,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2017-09-03,2017-09-03,114,0.35,0.25,0.01
80,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2017-01-24,2017-01-24,31,0.36,0.23,0.01
81,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2021-02-02,2021-02-02,104,0.34,0.26,0.01
82,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2021-02-28,2021-02-28,161,0.29,0.29,0.01
83,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-01-16,2022-01-16,119,0.33,0.26,0.01
84,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2017-07-30,2017-07-30,89,0.26,0.35,0.01
85,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-03-10,2019-03-10,88,0.26,0.29,0.01
86,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-10-10,2021-10-10,118,0.39,0.29,0.01
87,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2015-09-01,2015-09-01,93,0.35,0.27,0.01
88,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,4,2017-05-21,2017-05-21,26,0.37,0.31,0.01
89,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2023-01-13,2023-01-13,108,0.31,0.26,0.01
90,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,7,2018-10-11,2018-10-11,41,0.26,0.35,0.01
91,Tesla,Model 3,323.0,60234.85,28.08,4.96,1.63,31.32,5,2022-08-05,2022-08-05,155,0.35,0.27,0.01
92,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2020-07-01,2020-07-01,92,0.37,0.24,0.01
93,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2015-01-19,2015-01-19,89,0.36,0.23,0.01
94,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2017-03-07,2017-03-07,90,0.25,0.3,0.01
95,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2016-08-21,2016-08-21,91,0.21,0.31,0.01
96,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2023-12-27,2023-12-27,217,0.24,0.29,0.01
97,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,5,2017-08-20,2017-08-20,66,0.36,0.22,0.01
98,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2016-10-20,Missing,26,0.21,0.25,0.01
99,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2017-11-02,2017-11-02,64,0.24,0.29,0.01
100,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,7,Missing,2022-04-10,135,0.25,0.3,0.01
101,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2015-12-10,2015-12-10,70,0.31,0.26,0.01
102,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,5,2019-04-30,2019-04-30,92,0.26,0.29,0.01
103,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,5,2019-05-04,2019-05-04,33,0.39,0.22,0.01
104,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,Missing,2018-01-11,59,0.21,0.31,0.01
105,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2016-07-04,2016-07-04,77,0.35,0.31,0.01
106,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,2016-07-12,2016-07-12,65,0.25,0.3,0.01
107,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,4,2022-06-13,2022-06-13,142,0.23,0.27,0.01
108,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2015-12-13,2015-12-13,83,0.24,0.29,0.01
109,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,Missing,2022-06-30,41,0.23,0.22,0.01
110,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,2,2016-06-28,2016-06-28,74,0.35,0.25,0.01
111,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,4,2016-11-19,2016-11-19,80,0.35,0.25,0.01
112,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,5,2023-12-15,2023-12-15,117,0.21,0.25,0.01
113,BMW,iX,282.0,62657.81,41.83,24.68,1.97,40.87,4,2016-01-29,2016-01-29,67,0.39,0.22,0.01
114,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2023-08-27,2023-08-27,174,0.33,0.26,0.01
115,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,4,2019-09-04,2019-09-04,114,0.29,0.29,0.01
116,Audi,Q4 e-tron,262.0,59633.88,31.12,25.26,1.73,34.21,5,2022-09-29,2022-09-29,130,0.24,0.29,0.01
117,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,5,2021-03-20,2021-03-20,92,0.36,0.34,0.01
118,Hyundai,Ioniq 5,286.0,60385.15,35.78,1.47,1.27,35.28,7,2022-02-01,2022-02-01,136,0.21,0.25,0.01
119,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2017-11-29,2017-11-29,41,0.23,0.27,0.01
120,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,5,Missing,2015-08-11,81,0.25,0.3,0.01
121,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2020-12-19,2020-12-19,50,0.39,0.29,0.01
122,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2015-12-03,2015-12-03,90,0.37,0.32,0.01
