,Brand,Model,Range,Price,Battery_Capacity,Charging_Speed,Acceleration,Top_Speed,Seating_Capacity,Launch_Date,Date,Sales,Efficiency,Drag_Coefficient,Tire_Rolling_Resistance,Primary_Manufacturing_Location,Secondary_Manufacturing_Location,Annual_Production_Capacity,Year_Operations_Started
0,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,7,2020-09-01,2020-09-01,35,0.37,0.24,0.01,Japan,Sweden,300990,2015
1,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2018-06-30,2018-06-30,27,0.37,0.31,0.01,Germany,USA,498290,1998
2,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2019-07-30,Missing,32,0.29,0.29,0.01,South Korea,China,107624,1995
3,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2017-03-08,2017-03-08,75,0.35,0.25,0.01,Japan,Sweden,300990,2015
4,Nissan,Leaf,263.0,61635.17,15.58,9.42,1.17,49.6,5,2017-12-13,2017-12-13,107,0.29,0.29,0.01,South Korea,China,107624,1995
5,Volvo,XC40 Recharge,294.0,61473.43,34.3,25.19,1.69,52.0,5,2017-07-04,2017-07-04,35,0.37,0.32,0.01,South Korea,Sweden,72981,2019
6,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,2,2018-07-05,2018-07-05,71,0.26,0.35,0.01,UK,Sweden,169318,1991
7,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2023-09-05,2023-09-05,42,0.23,0.22,0.01,Sweden,China,378616,2002
8,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2022-05-28,2022-05-28,149,0.26,0.35,0.01,UK,Sweden,169318,1991
9,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2017-10-03,2017-10-03,20,0.26,0.31,0.01,Mexico,Mexico,206080,1999
10,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2023-12-13,2023-12-13,39,0.39,0.29,0.01,UK,UK,126978,2020
11,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,7,2017-05-15,2017-05-15,92,0.39,0.29,0.01,UK,UK,126978,2020
12,Volkswagen,ID.Buzz,245.0,60210.69,31.3,4.55,1.84,38.75,7,2023-12-13,2023-12-13,92,0.26,0.29,0.01,UK,UK,291315,2014
13,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,2023-09-11,2023-09-11,91,0.26,0.35,0.01,UK,Sweden,169318,1991
14,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2015-04-19,2015-04-19,62,0.35,0.31,0.01,Mexico,Germany,494250,2010
15,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2021-11-08,2021-11-08,41,0.37,0.31,0.01,Germany,USA,498290,1998
16,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,5,2017-04-15,2017-04-15,70,0.34,0.26,0.01,Mexico,Mexico,206080,1999
17,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2018-08-15,2018-08-15,91,0.26,0.31,0.01,Mexico,Mexico,206080,1999
18,Kia,EV6,264.0,61211.46,33.97,4.8,0.87,32.3,7,2023-02-03,2023-02-03,29,0.36,0.22,0.01,Sweden,Sweden,447546,2017
19,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,2,2020-07-12,2020-07-12,117,0.26,0.31,0.01,Mexico,Mexico,206080,1999
20,Chevrolet,Silverado EV,281.0,59269.18,38.23,20.56,1.68,56.03,5,2016-12-23,2016-12-23,60,0.23,0.22,0.01,Sweden,China,378616,2002
21,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2018-07-25,2018-07-25,89,0.33,0.26,0.01,Mexico,Japan,150730,2002
22,Lucid,Air,266.0,56169.0,36.95,1.15,2.11,49.47,5,2017-01-01,2017-01-01,74,0.37,0.31,0.01,Germany,USA,498290,1998
23,Hyundai,Kona,302.0,59429.57,27.81,10.26,2.01,8.39,5,Missing,2018-10-05,93,0.26,0.35,0.01,UK,Sweden,169318,1991
24,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,7,2017-08-23,2017-08-23,82,0.31,0.26,0.01,Sweden,China,342446,1997
25,Mercedes-Benz,EQS,338.0,60402.4,29.59,24.75,1.66,32.16,5,2021-03-30,2021-03-30,122,0.26,0.31,0.01,Mexico,Mexico,206080,1999
26,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-08-25,2021-08-25,97,0.35,0.25,0.01,Japan,Sweden,300990,2015
27,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2021-09-17,2021-09-17,111,0.31,0.26,0.01,Sweden,China,342446,1997
28,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-02-06,2023-02-06,123,0.35,0.31,0.01,Mexico,Germany,494250,2010
29,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2016-09-18,2016-09-18,103,0.33,0.26,0.01,Mexico,Japan,150730,2002
30,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,5,2022-10-23,2022-10-23,124,0.33,0.26,0.01,Mexico,Japan,150730,2002
31,Mercedes-Benz,EQE,311.0,60630.78,27.45,0.01,1.99,48.47,7,2022-06-08,2022-06-08,96,0.34,0.26,0.01,Mexico,Mexico,206080,1999
32,BMW,i3,340.0,59324.29,37.62,2.73,2.33,32.36,4,2018-09-11,2018-09-11,95,0.25,0.3,0.01,Mexico,Mexico,170850,1993
33,Tesla,2,280.0,60193.28,27.42,26.72,1.82,51.53,5,2021-04-22,2021-04-22,44,0.21,0.31,0.01,Mexico,Germany,494250,2010
34,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,5,2016-06-22,2016-06-22,84,0.37,0.24,0.01,Japan,Sweden,300990,2015
35,Ford,F-150 Lightning,268.0,60121.52,28.63,0.1,2.26,59.59,4,2020-01-08,2020-01-08,117,0.37,0.24,0.01,Japan,Sweden,300990,2015
36,Rivian,R1T,321.0,60736.87,31.43,22.2,2.02,28.46,5,2021-07-06,2021-07-06,172,0.39,0.29,0.01,UK,UK,126978,2020
37,Ford,Mach-E,287.0,59811.91,33.38,9.2,2.19,47.57,5,2021-12-31,2021-12-31,167,0.35,0.25,0.01,Japan,Sweden,300990,2015
38,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,5,2022-12-08,2022-12-08,145,0.31,0.26,0.01,Sweden,China,342446,1997
39,Kia,Niro,316.0,58513.03,31.7,12.06,1.85,47.07,5,2017-08-29,2017-08-29,71,0.36,0.23,0.01,Sweden,Sweden,447546,2017
40,Tesla,Model Y,315.0,59107.69,25.37,15.8,1.62,33.58,5,2023-04-13,2023-04-13,139,0.35,0.31,0.01,Mexico,Germany,494250,2010
41,Nissan,Ariya,326.0,60650.59,31.27,0.16,2.17,31.59,5,2019-12-05,2019-12-05,119,0.23,0.27,0.01,South Korea,China,107624,1995
42,Jaguar,I-PACE,292.0,60894.55,25.28,36.19,1.97,56.5,4,2017-12-18,2017-12-18,62,0.33,0.26,0.01,Mexico,Japan,150730,2002
43,Audi,e-tron,282.0,60666.36,29.92,15.36,1.12,23.94,4,2022-04-30,2022-04-30,120,0.31,0.26,0.01,Sweden,China,342446,1997
44,Chevrolet,Bolt,339.0,59656.33,36.97,16.72,1.94,50.15,7,2020-06-02,2020-06-02,139,0.36,0.34,0.01,Sweden,China,378616,2002
